"probe_id" "ensembl_id"
"1" "229819_at" "ENSG00000121410"
"2" "1558450_at" "ENSG00000175899"
"3" "217757_at" "ENSG00000175899"
"4" "236394_at" "ENSG00000256069"
"5" "214440_at" "ENSG00000171428"
"6" "206797_at" "ENSG00000156006"
"7" "202376_at" "ENSG00000196136"
"8" "205969_at" "ENSG00000114771"
"9" "201511_at" "ENSG00000127837"
"10" "207225_at" "ENSG00000129673"
"11" "201000_at" "ENSG00000090861"
"12" "206527_at" "ENSG00000183044"
"13" "209459_s_at" "ENSG00000183044"
"14" "209460_at" "ENSG00000183044"
"15" "1570279_at" "ENSG00000165029"
"16" "203504_s_at" "ENSG00000165029"
"17" "203505_at" "ENSG00000165029"
"18" "216066_at" "ENSG00000165029"
"19" "210099_at" "ENSG00000107331"
"20" "210100_s_at" "ENSG00000107331"
"21" "212772_s_at" "ENSG00000107331"
"22" "204343_at" "ENSG00000167972"
"23" "209620_s_at" "ENSG00000131269"
"24" "200045_at" "ENSG00000204574"
"25" "1569102_at" "ENSG00000198691"
"26" "210082_at" "ENSG00000198691"
"27" "202123_s_at" "ENSG00000097007"
"28" "203559_s_at" "ENSG00000002726"
"29" "206411_s_at" "ENSG00000143322"
"30" "226893_at" "ENSG00000143322"
"31" "231907_at" "ENSG00000143322"
"32" "212895_s_at" "ENSG00000159842"
"33" "214671_s_at" "ENSG00000159842"
"34" "202025_x_at" "ENSG00000060971"
"35" "214274_s_at" "ENSG00000060971"
"36" "212186_at" "ENSG00000132142"
"37" "214358_at" "ENSG00000132142"
"38" "1552615_at" "ENSG00000076555"
"39" "1552616_a_at" "ENSG00000076555"
"40" "214584_x_at" "ENSG00000076555"
"41" "221928_at" "ENSG00000076555"
"42" "43427_at" "ENSG00000076555"
"43" "49452_at" "ENSG00000076555"
"44" "206068_s_at" "ENSG00000115361"
"45" "206069_s_at" "ENSG00000115361"
"46" "202502_at" "ENSG00000117054"
"47" "202366_at" "ENSG00000122971"
"48" "205355_at" "ENSG00000196177"
"49" "226030_at" "ENSG00000196177"
"50" "200710_at" "ENSG00000072778"
"51" "1554947_at" "ENSG00000075239"
"52" "1559239_s_at" "ENSG00000075239"
"53" "205412_at" "ENSG00000075239"
"54" "209608_s_at" "ENSG00000120437"
"55" "206690_at" "ENSG00000108684"
"56" "205156_s_at" "ENSG00000110881"
"57" "37953_s_at" "ENSG00000110881"
"58" "205377_s_at" "ENSG00000087085"
"59" "205378_s_at" "ENSG00000087085"
"60" "210332_at" "ENSG00000087085"
"61" "201127_s_at" "ENSG00000131473"
"62" "201128_s_at" "ENSG00000131473"
"63" "210337_s_at" "ENSG00000131473"
"64" "207071_s_at" "ENSG00000122729"
"65" "207427_at" "ENSG00000100312"
"66" "200793_s_at" "ENSG00000100412"
"67" "217307_at" "ENSG00000100412"
"68" "207656_s_at" "ENSG00000161533"
"69" "209600_s_at" "ENSG00000161533"
"70" "209601_at" "ENSG00000161533"
"71" "213501_at" "ENSG00000161533"
"72" "227962_at" "ENSG00000161533"
"73" "1554808_at" "ENSG00000143727"
"74" "201629_s_at" "ENSG00000143727"
"75" "201630_s_at" "ENSG00000143727"
"76" "215227_x_at" "ENSG00000143727"
"77" "202767_at" "ENSG00000134575"
