"probe_id" "gene_id"
"1" "1053_at" "5982"
"2" "117_at" "3310"
"3" "121_at" "7849"
"4" "1255_g_at" "2978"
"5" "1294_at" "7318"
"6" "1316_at" "7067"
"7" "1320_at" "11099"
"8" "1405_i_at" "6352"
"9" "1431_at" "1571"
"10" "1438_at" "2049"
"11" "1487_at" "2101"
"12" "1494_f_at" "1548"
"13" "1552256_a_at" "949"
"14" "1552257_a_at" "23170"
"15" "1552258_at" "112597"
"16" "1552261_at" "10406"
"17" "1552263_at" "5594"
"18" "1552264_a_at" "5594"
"19" "1552266_at" "203102"
"20" "1552269_at" "128153"
"21" "1552271_at" "163154"
"22" "1552272_a_at" "163154"
"23" "1552274_at" "54899"
"24" "1552275_s_at" "54899"
"25" "1552276_a_at" "57617"
"26" "1552277_a_at" "91283"
"27" "1552278_a_at" "113235"
"28" "1552279_a_at" "113235"
"29" "1552280_at" "91937"
"30" "1552281_at" "283375"
"31" "1552283_s_at" "79844"
"32" "1552287_s_at" "172"
"33" "1552288_at" "148113"
"34" "1552289_a_at" "148113"
"35" "1552291_at" "54965"
"36" "1552293_at" "256130"
"37" "1552295_a_at" "91252"
"38" "1552296_at" "266675"
"39" "1552299_at" "221264"
"40" "1552301_a_at" "84940"
"41" "1552302_at" "113277"
"42" "1552303_a_at" "113277"
"43" "1552304_at" "84920"
"44" "1552306_at" "84920"
"45" "1552307_a_at" "125488"
"46" "1552309_a_at" "91624"
"47" "1552310_at" "123207"
"48" "1552311_a_at" "84839"
"49" "1552312_a_at" "4238"
"50" "1552314_a_at" "2140"
"51" "1552315_at" "170575"
"52" "1552316_a_at" "170575"
"53" "1552318_at" "170575"
"54" "1552319_a_at" "11202"
"55" "1552320_a_at" "85478"
"56" "1552321_a_at" "85478"
"57" "1552322_at" "159091"
"58" "1552323_s_at" "159091"
"59" "1552325_at" "220136"
"60" "1552326_a_at" "220136"
"61" "1552327_at" "100131755"
"62" "1552329_at" "5930"
"63" "1552330_at" "92806"
"64" "1552332_at" "11078"
"65" "1552334_at" "11078"
"66" "1552335_at" "117144"
"67" "1552337_s_at" "3233"
"68" "1552338_at" "145258"
"69" "1552340_at" "121340"
"70" "1552343_s_at" "5150"
"71" "1552344_s_at" "29883"
"72" "1552347_at" "9946"
"73" "1552348_at" "260429"
"74" "1552349_a_at" "260429"
"75" "1552354_at" "255057"
"76" "1552355_s_at" "255057"
"77" "1552359_at" "157777"
"78" "1552360_a_at" "114609"
"79" "1552362_a_at" "116842"
"80" "1552364_s_at" "124540"
"81" "1552365_at" "85477"
"82" "1552367_a_at" "85477"
"83" "1552368_at" "140690"
"84" "1552370_at" "132321"
"85" "1552372_at" "132321"
"86" "1552373_s_at" "132321"
"87" "1552375_at" "84449"
"88" "1552377_s_at" "201158"
"89" "1552378_s_at" "157506"
"90" "1552379_at" "157506"
"91" "1552381_at" "135295"
"92" "1552383_at" "149647"
"93" "1552384_a_at" "149647"
"94" "1552386_at" "202309"
"95" "1552388_at" "150378"
"96" "1552389_at" "203111"
"97" "1552390_a_at" "203111"
"98" "1552391_at" "164127"
"99" "1552393_at" "150350"
"100" "1552394_a_at" "150350"
"101" "1552395_at" "81629"
"102" "1552396_at" "140870"
"103" "1552398_a_at" "160364"
"104" "1552399_a_at" "2972"
"105" "1552400_a_at" "123591"
"106" "1552402_at" "163688"
"107" "1552405_at" "126206"
"108" "1552408_at" "146852"
"109" "1552409_a_at" "146852"
"110" "1552410_at" "165530"
"111" "1552414_at" "259240"
"112" "1552415_a_at" "259240"
"113" "1552417_a_at" "121441"
"114" "1552418_at" "254173"
"115" "1552419_s_at" "254173"
"116" "1552421_a_at" "125972"
"117" "1552422_at" "220979"
"118" "1552423_at" "2117"
"119" "1552424_at" "317719"
"120" "1552425_a_at" "317719"
"121" "1552426_a_at" "80213"
"122" "1552427_at" "220992"
"123" "1552430_at" "116966"
"124" "1552432_at" "162387"
"125" "1552438_a_at" "150709"
"126" "1552439_s_at" "84465"
"127" "1552440_at" "11318"
"128" "1552445_a_at" "80712"
"129" "1552448_a_at" "83656"
"130" "1552449_a_at" "147199"
"131" "1552450_a_at" "285126"
"132" "1552452_at" "126248"
"133" "1552453_a_at" "126248"
"134" "1552455_at" "158471"
"135" "1552456_a_at" "125997"
"136" "1552457_a_at" "92949"
"137" "1552458_at" "85509"
"138" "1552459_a_at" "85509"
"139" "1552461_at" "169966"
"140" "1552463_at" "89778"
"141" "1552466_x_at" "118421"
"142" "1552467_at" "259234"
"143" "1552468_a_at" "259234"
"144" "1552470_a_at" "83451"
"145" "1552472_a_at" "23527"
"146" "1552473_at" "2593"
"147" "1552474_a_at" "2593"
"148" "1552476_s_at" "113026"
"149" "1552477_a_at" "3664"
"150" "1552478_a_at" "3664"
"151" "1552480_s_at" "5788"
"152" "1552481_s_at" "10905"
"153" "1552482_at" "65059"
"154" "1552484_at" "140775"
"155" "1552485_at" "114294"
"156" "1552486_s_at" "114294"
"157" "1552487_a_at" "646"
"158" "1552489_s_at" "58538"
"159" "1552490_at" "246269"
"160" "1552491_at" "91734"
"161" "1552493_s_at" "1584"
"162" "1552494_at" "129685"
"163" "1552496_a_at" "23242"
"164" "1552497_a_at" "114836"
"165" "1552498_at" "7579"
"166" "1552499_a_at" "7579"
"167" "1552501_a_at" "151306"
"168" "1552502_s_at" "54933"
"169" "1552503_at" "80144"
"170" "1552504_a_at" "84446"
"171" "1552506_at" "286204"
"172" "1552507_at" "23704"
"173" "1552508_at" "23704"
"174" "1552509_a_at" "146894"
"175" "1552510_at" "142680"
"176" "1552511_a_at" "57094"
"177" "1552514_at" "164684"
"178" "1552515_at" "204851"
"179" "1552516_a_at" "204851"
"180" "1552518_s_at" "27085"
"181" "1552519_at" "130399"
"182" "1552520_at" "157753"
"183" "1552521_a_at" "157753"
"184" "1552522_at" "201798"
"185" "1552523_a_at" "201798"
"186" "1552524_at" "116969"
"187" "1552526_at" "196472"
"188" "1552528_at" "84536"
"189" "1552531_a_at" "204801"
"190" "1552532_a_at" "245973"
"191" "1552535_at" "149461"
"192" "1552536_at" "143187"
"193" "1552538_a_at" "221458"
"194" "1552540_s_at" "115811"
"195" "1552541_at" "117289"
"196" "1552542_s_at" "117289"
"197" "1552543_a_at" "85439"
"198" "1552544_at" "145264"
"199" "1552546_a_at" "137994"
"200" "1552548_at" "7809"
"201" "1552549_a_at" "7809"
"202" "1552552_s_at" "170482"
"203" "1552553_a_at" "58484"
"204" "1552554_a_at" "58484"
"205" "1552555_at" "146547"
"206" "1552557_a_at" "158866"
"207" "1552558_a_at" "10743"
"208" "1552559_a_at" "65061"
"209" "1552562_at" "148268"
"210" "1552564_at" "119369"
"211" "1552566_at" "118663"
"212" "1552568_at" "83597"
"213" "1552569_a_at" "83597"
"214" "1552570_at" "54084"
"215" "1552572_a_at" "145282"
"216" "1552573_s_at" "145282"
"217" "1552575_a_at" "135398"
"218" "1552576_at" "200420"
"219" "1552578_a_at" "140469"
"220" "1552579_a_at" "8747"
"221" "1552580_at" "205860"
"222" "1552582_at" "150000"
"223" "1552583_s_at" "150000"
"224" "1552584_at" "3594"
"225" "1552585_s_at" "11036"
"226" "1552586_at" "162514"
"227" "1552587_at" "168975"
"228" "1552588_a_at" "168975"
"229" "1552590_a_at" "94160"
"230" "1552592_at" "118856"
"231" "1552594_at" "147744"
"232" "1552596_at" "246176"
"233" "1552598_at" "93107"
"234" "1552599_at" "222659"
"235" "1552602_at" "27091"
"236" "1552604_at" "54143"
"237" "1552605_s_at" "54143"
"238" "1552608_at" "259239"
"239" "1552610_a_at" "3716"
"240" "1552611_a_at" "3716"
"241" "1552612_at" "56990"
"242" "1552613_s_at" "56990"
"243" "1552615_at" "32"
"244" "1552616_a_at" "32"
"245" "1552617_a_at" "64326"
"246" "1552618_at" "10228"
"247" "1552619_a_at" "54443"
"248" "1552620_at" "163778"
"249" "1552623_at" "84941"
"250" "1552625_a_at" "51095"
"251" "1552626_a_at" "81615"
"252" "1552627_a_at" "394"
"253" "1552628_a_at" "64224"
"254" "1552629_a_at" "23210"
"255" "1552630_a_at" "10847"
"256" "1552631_a_at" "9064"
"257" "1552632_a_at" "22901"
"258" "1552633_at" "94039"
"259" "1552634_a_at" "94039"
"260" "1552637_at" "5781"
"261" "1552639_at" "113730"
"262" "1552643_at" "199777"
"263" "1552644_a_at" "80012"
"264" "1552646_at" "3590"
"265" "1552648_a_at" "8797"
"266" "1552652_at" "89781"
"267" "1552656_s_at" "127933"
"268" "1552657_a_at" "84203"
"269" "1552658_a_at" "89795"
"270" "1552660_a_at" "55322"
"271" "1552661_at" "56099"
"272" "1552662_a_at" "56099"
"273" "1552663_a_at" "23085"
"274" "1552664_at" "201163"
"275" "1552665_at" "84989"
"276" "1552666_a_at" "57554"
"277" "1552667_a_at" "10044"
"278" "1552669_at" "79660"
"279" "1552670_a_at" "79660"
"280" "1552671_a_at" "84679"
"281" "1552672_a_at" "3321"
"282" "1552673_at" "222546"
"283" "1552674_at" "116093"
"284" "1552675_at" "150353"
"285" "1552676_at" "114131"
"286" "1552677_a_at" "23181"
"287" "1552678_a_at" "57646"
"288" "1552680_a_at" "57082"
"289" "1552682_a_at" "57082"
"290" "1552684_a_at" "123228"
"291" "1552685_a_at" "29841"
"292" "1552686_at" "140894"
"293" "1552687_a_at" "140894"
"294" "1552689_at" "57524"
"295" "1552690_a_at" "93589"
"296" "1552691_at" "115761"
"297" "1552693_at" "115761"
"298" "1552694_at" "114134"
"299" "1552695_a_at" "114134"
"300" "1552696_at" "123606"
"301" "1552698_at" "113691"
"302" "1552701_a_at" "114769"
"303" "1552705_at" "142679"
"304" "1552708_a_at" "142679"
"305" "1552711_a_at" "124637"
"306" "1552712_a_at" "23057"
"307" "1552713_a_at" "6521"
"308" "1552714_at" "200407"
"309" "1552715_a_at" "59350"
"310" "1552716_at" "79925"
"311" "1552718_at" "92675"
"312" "1552719_at" "113201"
"313" "1552721_a_at" "2246"
"314" "1552722_at" "10777"
"315" "1552724_at" "158800"
"316" "1552725_s_at" "170691"
"317" "1552726_at" "170691"
"318" "1552727_s_at" "170691"
"319" "1552730_at" "50846"
"320" "1552731_at" "137735"
"321" "1552732_at" "137735"
"322" "1552733_at" "122773"
"323" "1552734_at" "253260"
"324" "1552736_a_at" "81832"
"325" "1552737_s_at" "11060"
"326" "1552738_a_at" "54879"
"327" "1552739_s_at" "54879"
"328" "1552742_at" "131096"
"329" "1552743_at" "23263"
"330" "1552745_at" "133482"
"331" "1552747_a_at" "151649"
"332" "1552749_a_at" "147700"
"333" "1552750_at" "117286"
"334" "1552751_a_at" "117286"
"335" "1552752_a_at" "253559"
"336" "1552754_a_at" "253559"
"337" "1552755_at" "157983"
"338" "1552757_s_at" "157983"
"339" "1552758_at" "9734"
"340" "1552760_at" "9734"
"341" "1552761_at" "162515"
"342" "1552763_at" "91147"
"343" "1552765_x_at" "91147"
"344" "1552766_at" "90161"
"345" "1552767_a_at" "90161"
"346" "1552768_at" "84254"
"347" "1552769_at" "90589"
"348" "1552770_s_at" "147837"
"349" "1552771_a_at" "286826"
"350" "1552772_at" "338339"
"351" "1552773_at" "338339"
"352" "1552774_a_at" "9481"
"353" "1552775_at" "222545"
"354" "1552777_a_at" "135250"
"355" "1552779_a_at" "204962"
"356" "1552782_at" "204962"
"357" "1552783_at" "147687"
"358" "1552785_at" "163115"
"359" "1552787_at" "92797"
"360" "1552788_a_at" "92797"
"361" "1552789_at" "7095"
"362" "1552790_a_at" "7095"
"363" "1552791_a_at" "10345"
"364" "1552792_at" "122809"
"365" "1552793_at" "286122"
"366" "1552794_a_at" "284306"
"367" "1552796_a_at" "6492"
"368" "1552797_s_at" "150696"
"369" "1552798_a_at" "7099"
"370" "1552799_at" "203062"
"371" "1552800_at" "83451"
"372" "1552801_at" "92291"
"373" "1552803_a_at" "3925"
"374" "1552804_a_at" "114609"
"375" "1552806_a_at" "89790"
"376" "1552807_a_at" "89790"
"377" "1552808_at" "92949"
"378" "1552809_at" "5992"
"379" "1552811_at" "117166"
"380" "1552812_a_at" "29843"
"381" "1552813_at" "136259"
"382" "1552814_a_at" "136259"
"383" "1552816_at" "158046"
"384" "1552818_a_at" "680"
"385" "1552819_at" "257103"
"386" "1552822_at" "54495"
"387" "1552825_at" "252884"
"388" "1552826_at" "115111"
"389" "1552827_s_at" "115111"
"390" "1552828_at" "112574"
"391" "1552830_at" "162517"
"392" "1552833_at" "192134"
"393" "1552834_at" "192134"
"394" "1552835_at" "163486"
"395" "1552836_at" "285267"
"396" "1552837_at" "22858"
"397" "1552839_at" "161142"
"398" "1552841_s_at" "79370"
"399" "1552842_at" "266722"
"400" "1552843_at" "10861"
"401" "1552845_at" "24146"
"402" "1552846_s_at" "115273"
"403" "1552848_a_at" "139411"
"404" "1552849_at" "130951"
"405" "1552851_at" "201516"
"406" "1552852_a_at" "201516"
"407" "1552853_at" "127731"
"408" "1552854_a_at" "127731"
"409" "1552856_at" "197196"
"410" "1552857_a_at" "3362"
"411" "1552858_at" "158809"
"412" "1552862_at" "284618"
"413" "1552863_a_at" "59285"
"414" "1552865_a_at" "160492"
"415" "1552868_at" "148046"
"416" "1552870_s_at" "126859"
"417" "1552872_at" "80161"
"418" "1552873_s_at" "80161"
"419" "1552875_a_at" "131450"
"420" "1552876_at" "114042"
"421" "1552877_s_at" "114042"
"422" "1552878_at" "220202"
"423" "1552879_a_at" "220202"
"424" "1552880_at" "89866"
"425" "1552882_a_at" "139285"
"426" "1552884_at" "157848"
"427" "1552885_a_at" "157848"
"428" "1552887_at" "219793"
"429" "1552889_a_at" "90332"
"430" "1552890_a_at" "57010"
"431" "1552892_at" "115650"
"432" "1552893_at" "94032"
"433" "1552895_a_at" "149992"
"434" "1552897_a_at" "170850"
"435" "1552898_a_at" "170850"
"436" "1552899_at" "154089"
"437" "1552900_a_at" "154089"
"438" "1552902_a_at" "93986"
"439" "1552903_at" "124872"
"440" "1552904_at" "81832"
"441" "1552906_at" "158521"
"442" "1552908_at" "148823"
"443" "1552910_at" "114132"
"444" "1552911_at" "114132"
"445" "1552912_a_at" "149233"
"446" "1552913_at" "286514"
"447" "1552914_a_at" "80381"
"448" "1552915_at" "282616"
"449" "1552917_at" "282618"
"450" "1552919_at" "132989"
"451" "1552921_a_at" "63979"
"452" "1552922_at" "22999"
"453" "1552923_a_at" "57605"
"454" "1552924_a_at" "57605"
"455" "1552925_at" "57575"
"456" "1552927_at" "257397"
"457" "1552928_s_at" "257397"
"458" "1552929_at" "131890"
"459" "1552930_at" "79258"
"460" "1552931_a_at" "5151"
"461" "1552932_at" "171389"
"462" "1552933_at" "254268"
"463" "1552935_at" "203430"
"464" "1552937_s_at" "84126"
"465" "1552938_at" "85416"
"466" "1552939_at" "284"
"467" "1552940_at" "127670"
"468" "1552942_at" "149373"
"469" "1552943_at" "2565"
"470" "1552944_a_at" "56666"
"471" "1552946_at" "163071"
"472" "1552947_x_at" "163071"
"473" "1552948_at" "148870"
"474" "1552950_at" "161502"
"475" "1552952_at" "159162"
"476" "1552953_a_at" "4761"
"477" "1552954_at" "439936"
"478" "1552955_at" "83655"
"479" "1552957_at" "1768"
"480" "1552960_at" "131578"
"481" "1552964_at" "54777"
"482" "1552965_a_at" "93010"
"483" "1552967_at" "158506"
"484" "1552969_a_at" "9204"
"485" "1552970_s_at" "9204"
"486" "1552971_at" "137868"
"487" "1552972_at" "100507431"
"488" "1552973_at" "7484"
"489" "1552976_at" "374407"
"490" "1552977_a_at" "10695"
"491" "1552978_a_at" "9522"
"492" "1552979_at" "151477"
"493" "1552980_at" "3038"
"494" "1552982_a_at" "2249"
"495" "1552985_at" "169026"
"496" "1552986_at" "142937"
"497" "1552987_a_at" "439933"
"498" "1552988_at" "160140"
"499" "1552990_at" "284418"
"500" "1552991_at" "120065"
"501" "1552993_at" "143241"
"502" "1552995_at" "246778"
"503" "1552997_a_at" "132141"
"504" "1552998_at" "245938"
"505" "1552999_a_at" "280664"
"506" "1553003_at" "5314"
"507" "1553004_at" "168507"
"508" "1553006_at" "139378"
"509" "1553007_a_at" "10178"
"510" "1553009_s_at" "254958"
"511" "1553011_at" "138474"
"512" "1553013_at" "129684"
"513" "1553015_a_at" "9401"
"514" "1553016_at" "165082"
"515" "1553019_at" "117532"
"516" "1553020_at" "140771"
"517" "1553021_s_at" "23299"
"518" "1553022_at" "114026"
"519" "1553023_a_at" "79400"
"520" "1553024_at" "282706"
"521" "1553025_at" "57211"
"522" "1553027_a_at" "56062"
"523" "1553028_at" "165829"
"524" "1553030_a_at" "6821"
"525" "1553031_at" "221393"
"526" "1553032_at" "133396"
"527" "1553033_at" "94122"
"528" "1553034_at" "10806"
"529" "1553036_at" "222611"
"530" "1553037_a_at" "6854"
"531" "1553039_a_at" "136371"
"532" "1553041_at" "170572"
"533" "1553042_a_at" "84807"
"534" "1553043_a_at" "146722"
"535" "1553044_at" "84694"
"536" "1553045_at" "7483"
"537" "1553046_s_at" "64090"
"538" "1553047_at" "8396"
"539" "1553048_a_at" "8396"
"540" "1553051_s_at" "113746"
"541" "1553052_at" "164237"
"542" "1553053_at" "256369"
"543" "1553055_a_at" "162394"
"544" "1553057_at" "89777"
"545" "1553058_at" "126326"
"546" "1553059_at" "114771"
"547" "1553060_at" "85481"
"548" "1553061_at" "89883"
"549" "1553062_at" "116255"
"550" "1553063_at" "27201"
"551" "1553064_at" "132243"
"552" "1553066_at" "134860"
"553" "1553067_a_at" "114814"
"554" "1553069_at" "257357"
"555" "1553070_a_at" "91977"
"556" "1553071_a_at" "91977"
"557" "1553072_at" "149428"
"558" "1553074_at" "140456"
"559" "1553075_a_at" "266553"
"560" "1553076_at" "266553"
"561" "1553077_at" "121214"
"562" "1553078_at" "120066"
"563" "1553079_at" "135644"
"564" "1553080_at" "286828"
"565" "1553081_at" "128488"
"566" "1553082_at" "155051"
"567" "1553084_at" "147323"
"568" "1553086_at" "143501"
"569" "1553087_at" "84322"
"570" "1553088_a_at" "10018"
"571" "1553089_a_at" "10406"
"572" "1553093_a_at" "245932"
"573" "1553096_s_at" "10018"
"574" "1553099_at" "200765"
"575" "1553101_a_at" "54890"
"576" "1553102_a_at" "26112"
"577" "1553103_at" "4799"
"578" "1553105_s_at" "1829"
"579" "1553106_at" "134553"
"580" "1553107_s_at" "134553"
"581" "1553108_at" "134553"
"582" "1553111_a_at" "89890"
"583" "1553112_s_at" "1024"
"584" "1553113_s_at" "1024"
"585" "1553114_a_at" "5753"
"586" "1553115_at" "85407"
